id;fecha;tipo;distancia_km;duracion_min;calorias;fuente;nombre;estado
196;2024-06-21T19:38:49;Carrera;6.04;48.3;386.0;Apple;Carrera [Est];REPARADO (Estimado)
197;2024-06-17T19:40:22;Carrera;5.28;42.2;337.0;Apple;Carrera [Est];REPARADO (Estimado)
198;2024-06-15T11:11:19;Tenis;3.68;91.5;635.0;Apple;Tenis [Est];REPARADO (Estimado)
199;2024-06-12T19:39:47;Caminata;2.05;46.3;150.0;Apple;Caminata [Est];REPARADO (Estimado)
200;2024-06-10T19:41:46;Caminata;2.22;50.3;163.0;Apple;Caminata [Est];REPARADO (Estimado)
201;2024-06-08T08:58:31;Tenis;5.13;127.3;884.0;Apple;Tenis [Est];REPARADO (Estimado)
202;2024-05-31T18:44:24;Tenis;3.28;81.5;566.0;Apple;Tenis [Est];REPARADO (Estimado)
203;2024-05-29T19:44:32;Tenis;4.46;110.7;768.0;Apple;Tenis [Est];REPARADO (Estimado)
204;2024-05-25T09:18:01;Tenis;5.39;133.9;929.0;Apple;Tenis [Est];REPARADO (Estimado)
205;2024-05-24T18:57:29;Tenis;3.06;76.1;528.0;Apple;Tenis [Est];REPARADO (Estimado)
206;2024-05-18T09:05:47;Tenis;2.98;74.1;514.0;Apple;Tenis [Est];REPARADO (Estimado)
207;2024-05-17T18:27:55;Tenis;1.29;32.1;222.0;Apple;Tenis [Est];REPARADO (Estimado)
208;2024-05-11T09:11:05;Tenis;3.32;82.5;572.0;Apple;Tenis [Est];REPARADO (Estimado)
209;2024-05-10T18:20:32;Tenis;1.7;42.2;293.0;Apple;Tenis [Est];REPARADO (Estimado)
210;2024-05-09T19:07:52;Tenis;4.49;111.6;775.0;Apple;Tenis [Est];REPARADO (Estimado)
211;2024-04-13T09:08:13;Tenis;1.43;35.4;245.0;Apple;Tenis [Est];REPARADO (Estimado)
212;2024-04-12T18:14:02;Tenis;2.42;60.1;417.0;Apple;Tenis [Est];REPARADO (Estimado)
213;2024-03-22T18:20:29;Tenis;2.48;61.5;427.0;Apple;Tenis [Est];REPARADO (Estimado)
214;2024-03-16T09:00:56;Tenis;2.42;60.2;418.0;Apple;Tenis [Est];REPARADO (Estimado)
215;2024-03-15T18:02:10;Tenis;3.02;75.1;521.0;Apple;Tenis [Est];REPARADO (Estimado)
216;2024-03-06T19:11:45;Carrera;6.56;52.5;420.0;Apple;Carrera [Est];REPARADO (Estimado)
217;2024-03-02T09:39:24;Tenis;3.92;97.4;676.0;Apple;Tenis [Est];REPARADO (Estimado)
218;2024-02-25T18:13:50;Caminata;2.83;64.0;208.0;Apple;Caminata [Est];REPARADO (Estimado)
219;2024-02-03T08:20:23;Tenis;3.93;97.5;677.0;Apple;Tenis [Est];REPARADO (Estimado)
220;2024-01-21T00:10:56;Tenis;0.05;1.2;8.0;Apple;Tenis [Est];REPARADO (Estimado)
221;2024-01-12T23:06:13;Tenis;0.29;7.3;50.0;Apple;Tenis [Est];REPARADO (Estimado)
222;2024-01-01T20:21:22;Tenis;4.56;113.3;786.0;Apple;Tenis [Est];REPARADO (Estimado)
223;2023-12-23T09:02:20;Tenis;3.01;74.7;518.0;Apple;Tenis [Est];REPARADO (Estimado)
224;2023-12-21T19:35:35;Caminata;2.41;54.5;177.0;Apple;Caminata [Est];REPARADO (Estimado)
225;2023-12-19T18:48:33;Caminata;2.28;51.6;168.0;Apple;Caminata [Est];REPARADO (Estimado)
226;2023-12-13T18:47:04;Caminata;2.65;60.0;195.0;Apple;Caminata [Est];REPARADO (Estimado)
227;2023-12-12T19:36:11;Tenis;1.44;35.7;247.0;Apple;Tenis [Est];REPARADO (Estimado)
228;2023-12-08T20:12:49;Tenis;5.45;135.3;939.0;Apple;Tenis [Est];REPARADO (Estimado)
229;2023-12-02T11:00:00;Tenis;3.62;90.0;625.0;Apple;Tenis [Est];REPARADO (Estimado)
230;2023-12-02T09:24:51;Tenis;8.42;209.2;1452.0;Apple;Tenis [Est];REPARADO (Estimado)
231;2023-12-02T09:00:00;Tenis;4.83;120.0;833.0;Apple;Tenis [Est];REPARADO (Estimado)
232;2023-11-30T19:33:10;Caminata;3.83;86.5;281.0;Apple;Caminata [Est];REPARADO (Estimado)
233;2023-11-30T19:32:47;Caminata;2.73;61.7;201.0;Apple;Caminata [Est];REPARADO (Estimado)
234;2023-11-29T19:18:01;Caminata;2.59;58.5;190.0;Apple;Caminata [Est];REPARADO (Estimado)
235;2023-11-28T18:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
236;2023-11-25T09:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
237;2023-11-22T19:29:45;Caminata;1.4;31.7;103.0;Apple;Caminata [Est];REPARADO (Estimado)
238;2023-11-22T19:28:47;Caminata;1.62;36.7;119.0;Apple;Caminata [Est];REPARADO (Estimado)
239;2023-11-21T19:31:48;Caminata;1.53;34.7;113.0;Apple;Caminata [Est];REPARADO (Estimado)
240;2023-11-21T19:31:23;Caminata;1.45;32.8;106.0;Apple;Caminata [Est];REPARADO (Estimado)
241;2023-11-19T19:03:23;Caminata;2.63;59.4;193.0;Apple;Caminata [Est];REPARADO (Estimado)
242;2023-11-18T09:26:32;Tenis;2.07;51.4;356.0;Apple;Tenis [Est];REPARADO (Estimado)
243;2023-11-18T09:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
244;2023-11-12T09:00:00;Tenis;7.25;180.0;1250.0;Apple;Tenis [Est];REPARADO (Estimado)
245;2023-11-11T09:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
246;2023-11-05T19:30:12;Caminata;0.83;18.8;61.0;Apple;Caminata [Est];REPARADO (Estimado)
247;2023-11-05T19:20:22;Caminata;1.23;27.9;90.0;Apple;Caminata [Est];REPARADO (Estimado)
248;2023-11-05T16:13:35;Tenis;5.52;137.0;951.0;Apple;Tenis [Est];REPARADO (Estimado)
249;2023-11-05T16:00:00;Tenis;4.83;120.0;833.0;Apple;Tenis [Est];REPARADO (Estimado)
